#TYPE System.Security.AccessControl.FileSystemAccessRule
"Path","FileSystemRights","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"X:\Data\Departments\Human Resources","Modify, Synchronize","Allow","SERI\siqr-HQ Filer-Human Resources-Modify-2","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Inventory","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Departments\Operations","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Departments\Accounting\Tax","Modify, Synchronize","Allow","SERI\TaxAccounting","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Tax","ReadAndExecute, Synchronize","Allow","SERI\TaxAuthority","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2013\Q1_13","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2013\Q2_13","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2013\Q3_13","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2013\Q4_13","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2013\Q4_13","Modify, Synchronize","Allow","SERI\Aaron.Nichols","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2014\Q1_14","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2014\Q2_14","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2014\Q2_14","ReadAndExecute, Synchronize","Allow","SERI\Aaron.Nichols","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2014\Q3_14","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2014\Q4_14","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2015\Q1_15","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2015\Q2_15","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2015\Q3_15","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2015\Q4_15","FullControl","Allow","Everyone","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting\Acct_2015\Q4_15","FullControl","Allow","SERI\Aaron.Nichols","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","ReadAndExecute, Synchronize","Allow","SERI\Anthony.Roberts","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","Modify, Synchronize","Allow","SERI\Anna.Ward","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","ReadAndExecute, Synchronize","Allow","SERI\Arthur.Bryant","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","Modify, Synchronize","Allow","SERI\Anne.Arnold","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","Modify, Synchronize","Allow","SERI\Annie.Chavez","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","ReadAndExecute, Synchronize","Allow","SERI\Antonio.Franklin","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","Modify, Synchronize","Allow","SERI\AccountsPayable","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","Modify, Synchronize","Allow","SERI\AccountsReceivable","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","Write, ReadAndExecute, Synchronize","Allow","SERI\HR All","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources\Performance Reviews","FullControl","Allow","SERI\HR Internal","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Projects\project_DAG","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Projects\project_IAM","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Projects\project_IGA","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Projects\project_X","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Projects\project_X","FullControl","Allow","SERI\Amanda.Ross","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Projects\project_X","FullControl","Allow","SERI\Aaron.Nichols","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Projects\project_X","ReadAndExecute, Synchronize","Allow","SERI\DataArchive","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Projects\project_Y","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Projects\project_Y","FullControl","Allow","BUILTIN\Users","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Projects\project_Z","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Projects\project_Z","ReadAndExecute, Synchronize","Allow","SERI\AccountsReceivable","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Projects\project_Z","ReadAndExecute, Synchronize","Allow","SERI\Benefits","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Projects\project_DAG\YE_2016","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\TestData\Departments","FullControl","Allow","NT AUTHORITY\SYSTEM","False","None","None"
"X:\Data\TestData\Departments","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\TestData\Departments","ReadAndExecute, Synchronize","Allow","S-1-5-5-0-1084595","False","None","None"
"X:\Data\TestData\Departments\Accounting","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"X:\Data\TestData\Departments\Accounting","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\TestData\Departments\Accounting","ReadAndExecute, Synchronize","Allow","S-1-5-5-0-1084595","False","None","None"
"X:\Data\TestData\Departments\Accounting","FullControl","Allow","SERI\administrator","False","ContainerInherit, ObjectInherit","None"
"X:\Data\TestData\Departments\Accounting\Tax","FullControl","Allow","SERI\administrator","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Aaron.Nichols","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Aaron.Nichols","FullControl","Allow","SERI\Aaron.Nichols","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Adam.Kennedy","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Adam.Kennedy","FullControl","Allow","SERI\Adam.Kennedy","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Administrator","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Administrator","FullControl","Allow","SERI\administrator","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Alan.Bradley","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Alan.Bradley","FullControl","Allow","SERI\Alan.Bradley","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Albert.Woods","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Albert.Woods","FullControl","Allow","SERI\Albert.Woods","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Alice.Ford","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Alice.Ford","FullControl","Allow","SERI\Alice.Ford","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Allen.Burton","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Allen.Burton","FullControl","Allow","SERI\Allen.Burton","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Amanda.Ross","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Amanda.Ross","FullControl","Allow","SERI\Amanda.Ross","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Amy.Cox","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Amy.Cox","FullControl","Allow","SERI\Amy.Cox","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\AnakinS","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\AnakinS","FullControl","Allow","SERI\AnakinS","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Andrea.Hudson","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Andrea.Hudson","FullControl","Allow","SERI\Andrea.Hudson","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Andrew.Gray","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Andrew.Gray","FullControl","Allow","SERI\Andrew.Gray","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Angela.Bell","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Angela.Bell","FullControl","Allow","SERI\Angela.Bell","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Ann.Alexander","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Ann.Alexander","FullControl","Allow","SERI\Ann.Alexander","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Anna.Ward","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Anna.Ward","FullControl","Allow","SERI\Anna.Ward","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Anne.Arnold","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Anne.Arnold","FullControl","Allow","SERI\Anne.Arnold","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Annie.Chavez","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Annie.Chavez","FullControl","Allow","SERI\Annie.Chavez","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Anthony.Roberts","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Anthony.Roberts","FullControl","Allow","SERI\Anthony.Roberts","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Antonio.Franklin","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Antonio.Franklin","FullControl","Allow","SERI\Antonio.Franklin","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Arthur.Bryant","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Arthur.Bryant","FullControl","Allow","SERI\Arthur.Bryant","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Ashley.Simpson","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Ashley.Simpson","FullControl","Allow","SERI\Ashley.Simpson","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Barbara.Wilson","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Barbara.Wilson","FullControl","Allow","SERI\Barbara.Wilson","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Benjamin.Hicks","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Benjamin.Hicks","FullControl","Allow","SERI\Benjamin.Hicks","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Betty.Young","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Betty.Young","FullControl","Allow","SERI\Betty.Young","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Beverly.Rice","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Beverly.Rice","FullControl","Allow","SERI\Beverly.Rice","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Bill.Moore","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Bill.Moore","FullControl","Allow","SERI\Bill.Moore","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Billy.Holmes","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Billy.Holmes","FullControl","Allow","SERI\Billy.Holmes","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Bob.Brown","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Bob.Brown","FullControl","Allow","SERI\Bob.Brown","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Bobby.Stephens","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Bobby.Stephens","FullControl","Allow","SERI\Bobby.Stephens","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Bonnie.Carroll","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Bonnie.Carroll","FullControl","Allow","SERI\Bonnie.Carroll","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Brandon.Mason","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Brandon.Mason","FullControl","Allow","SERI\Brandon.Mason","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Brenda.Cooper","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Brenda.Cooper","FullControl","Allow","SERI\Brenda.Cooper","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Brian.Nelson","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Brian.Nelson","FullControl","Allow","SERI\Brian.Nelson","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Bruce.Henry","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Bruce.Henry","FullControl","Allow","SERI\Bruce.Henry","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Bryan.Ryan","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Bryan.Ryan","FullControl","Allow","SERI\Bryan.Ryan","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Carl.Foster","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Carl.Foster","FullControl","Allow","SERI\Carl.Foster","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Carlos.Perkins","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Carlos.Perkins","FullControl","Allow","SERI\Carlos.Perkins","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Carmen.Hansen","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Carmen.Hansen","FullControl","Allow","SERI\Carmen.Hansen","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Carol.Adams","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Carol.Adams","FullControl","Allow","SERI\Carol.Adams","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Carolyn.Perry","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Carolyn.Perry","FullControl","Allow","SERI\Carolyn.Perry","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Catherine.Simmons","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Catherine.Simmons","FullControl","Allow","SERI\Catherine.Simmons","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Charles.Harris","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Charles.Harris","FullControl","Allow","SERI\Charles.Harris","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Cheryl.Cruz","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Cheryl.Cruz","FullControl","Allow","SERI\Cheryl.Cruz","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Chris.Greene","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Chris.Greene","FullControl","Allow","SERI\Chris.Greene","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Christina.Ramos","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Christina.Ramos","FullControl","Allow","SERI\Christina.Ramos","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Christine.Long","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Christine.Long","FullControl","Allow","SERI\Christine.Long","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Christopher.Clark","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Christopher.Clark","FullControl","Allow","SERI\Christopher.Clark","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Cindy.Little","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Cindy.Little","FullControl","Allow","SERI\Cindy.Little","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Clarence.Harper","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Clarence.Harper","FullControl","Allow","SERI\Clarence.Harper","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Connie.Richards","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Connie.Richards","FullControl","Allow","SERI\Connie.Richards","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Craig.Hart","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Craig.Hart","FullControl","Allow","SERI\Craig.Hart","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Crystal.Schmidt","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Crystal.Schmidt","FullControl","Allow","SERI\Crystal.Schmidt","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\csimmons-adm","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\csimmons-adm","FullControl","Allow","SERI\csimmons-adm","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Curtis.Fernandez","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Curtis.Fernandez","FullControl","Allow","SERI\Curtis.Fernandez","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Cynthia.Cook","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Cynthia.Cook","FullControl","Allow","SERI\Cynthia.Cook","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Dale.Bishop","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Dale.Bishop","FullControl","Allow","SERI\Dale.Bishop","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Daniel.Lewis","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Daniel.Lewis","FullControl","Allow","SERI\Daniel.Lewis","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Danny.Fields","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Danny.Fields","FullControl","Allow","SERI\Danny.Fields","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\David.Anderson","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\David.Anderson","FullControl","Allow","SERI\David.Anderson","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Dawn.Oliver","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Dawn.Oliver","FullControl","Allow","SERI\Dawn.Oliver","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Deborah.Collins","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Deborah.Collins","FullControl","Allow","SERI\Deborah.Collins","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Debra.Wood","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Debra.Wood","FullControl","Allow","SERI\Debra.Wood","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Denise.Hunt","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Denise.Hunt","FullControl","Allow","SERI\Denise.Hunt","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Dennis.Barnes","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Dennis.Barnes","FullControl","Allow","SERI\Dennis.Barnes","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Diana.Lawrence","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Diana.Lawrence","FullControl","Allow","SERI\Diana.Lawrence","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Diane.Hayes","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Diane.Hayes","FullControl","Allow","SERI\Diane.Hayes","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Donald.Hernandez","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Donald.Hernandez","FullControl","Allow","SERI\Donald.Hernandez","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Donna.Scott","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Donna.Scott","FullControl","Allow","SERI\Donna.Scott","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Doris.Jordan","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Doris.Jordan","FullControl","Allow","SERI\Doris.Jordan","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Dorothy.Robinson","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Dorothy.Robinson","FullControl","Allow","SERI\Dorothy.Robinson","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Douglas.Flores","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Douglas.Flores","FullControl","Allow","SERI\Douglas.Flores","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Earl.Sims","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Earl.Sims","FullControl","Allow","SERI\Earl.Sims","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Edna.Mccoy","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Edna.Mccoy","FullControl","Allow","SERI\Edna.Mccoy","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Edward.Baker","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Edward.Baker","FullControl","Allow","SERI\Edward.Baker","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Elizabeth.Taylor","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Elizabeth.Taylor","FullControl","Allow","SERI\Elizabeth.Taylor","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Emily.Kelley","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Emily.Kelley","FullControl","Allow","SERI\Emily.Kelley","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Eric.Howard","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Eric.Howard","FullControl","Allow","SERI\Eric.Howard","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Ernest.Wagner","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Ernest.Wagner","FullControl","Allow","SERI\Ernest.Wagner","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Users\Eugene.Hawkins","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Users\Eugene.Hawkins","FullControl","Allow","SERI\Eugene.Hawkins","False","ContainerInherit, ObjectInherit","None"
